"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R9,R7,R3,R4,R5,R6";"0402R";6;"10K";;;
2;"SW1,SW2";"TECO-FSM4JSMATR_V";2;"FSM4JSMATR";;;
3;"U6";"SOP-24_L15.4-W7.5-P1.27-LS10.4-BL";1;"MAX7219M/TR";;;
4;"U5";"FP-LGA-16-7983231-MFG";1;"LIS3DHTR";;;
5;"U4";"FP-LGA-12-DM00170568-MFG";1;"LIS2MDLTR";;;
6;"R8";"0402R";1;"470";;;
7;"L1";"LED-SEG-TH_SZ421288N-64";1;"SZ421288N/64";;;
8;"J2";"HDR-TH_30P-P2.54-V-F-R2-C15-S2.54";1;"X6521WV-2x15H-C60D30";;;
9;"J1";"FP-22-28-4157-MFG";1;"22-28-4157";;;
10;"F1";"0805";1;"JSMD0805-110";;;
11;"D1";"DIOD-SOD323-2-A_V";1;"1N4148WS-7-F";;;
12;"BUZ1";"BUZ-SMD_4P-L8.5-W8.5-P8.50-BR";1;"2.7kHz";;;
13;"C1,C2";"0402C";2;"1uF";;;
14;"C3";"0402C";1;"10pF";;;
15;"C4,C5,C6";"0402C";3;"100nF";;;
16;"C7";"0402C";1;"10uF";;;
17;"Q1";"SOT-23";1;"NCE2302";;;
18;"R1,R2";"0402R";2;"5.1k";;;
19;"U1";"ESP32 S3 WROOM 1";1;"ESP32 S3";;;
20;"USB1";"C167321";1;"C167321";;;
21;"U7";"SOT-23";1;"C193852";;;
22;"U2";"SOT143B";1;"Unidirectional 5.5V 6V SOT-143 Diodes - ESD RoHS";;;
