"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"M1";"Spin mechanics";1;"Spin mechanics";;;
2;"U13";"QFN20";1;"NRF24l01P";;;
3;"S1";"B3U-3000PM";1;"B3U-3000PM";;;
4;"R8";"0402R";1;"26.1k";;;
5;"C29,C20,C14,C43,C1,C51";"0402C";6;"100nF";;;
6;"S2";"PTS810SJS250SMTRLFS";1;"PTS810SJS250SMTRLFS";;;
7;"P4";"Shield Antenna";1;"Plug";;;
8;"D5,D3";"HL-AM-2835H421W-S1-08-HR3-Footprint-1";2;"HL-AM-2835H421W-S1-08-HR3";;;
9;"D4";"QLS6A-FKW-CNSNSF043";1;"LED";;;
10;"BT1";"XT30U-M";1;"Battery";;;
11;"U11";"FP-LGA-16-7983231-MFG";1;"LIS3DHTR";;;
12;"U10";"TPS61088-QFN20";1;"TPS61088RHLT";;;
13;"U9";"SSOP-24";1;"TB6612FNG(O,C,8,EL";;;
14;"U8,U7";"FP-APDS-9250-IPC_B";2;"APDS-9250";;;
15;"U6";"FP-LGA-12-MFG";1;"VL53L0CXV0DH/1";;;
16;"U4";"SOT-23-6";1;"ME4055AM6G-N";;;
17;"U3";"SOT-23";1;"C193852";;;
18;"R30";"0402R";1;"22K";;;
19;"R28,R24,R12,R31";"0402R";4;"10K";;;
20;"R27,R40";"0402R";2;"2K";;;
21;"R25";"0402R";1;"1M";;;
22;"R23";"0402R";1;"75";;;
23;"R22,R21,R20,R13";"0402R";4;"100";;;
24;"R16";"0402R";1;"100R";;;
25;"R15";"0402R";1;"0R";;;
26;"R14";"0402R";1;"10k";;;
27;"R11";"0402R";1;"237k";;;
28;"R6";"0402R";1;"82k";;;
29;"R4,R35";"0402R";2;"1K";;;
30;"R3";"0402R";1;"732k";;;
31;"R1";"0402C";1;"22R";;;
32;"Q4,Q3,Q2,Q1,Q5";"SOT-23";5;"NCE2302";;;
33;"P3";"header 1x6 2.54mm";1;"C37208";;;
34;"L1";"FP-IHLP-2525CZ-FP_2_413x3-MFG";1;"1.5uH";;;
35;"FD6,FD5,FD4,FD3,FD2,FD1";"Fiducial";6;"FID1X2R";;;
36;"F1";"0805";1;"JSMD0805-110";;;
37;"E1";"Antenna Pad";1;"Antenna";;;
38;"C41";"0402C";1;"Capacitor 470pF +/-20% 50V 0402";;;
39;"C39";"0402C";1;"2.2nF";;;
40;"C38";"0402C";1;"Cap Semi";;;
41;"C36";"0402C";1;"33nF";;;
42;"C35,C10";"0402C";2;"1nF";;;
43;"C34,C40,C50";"0402C";3;"10nF";;;
44;"C30,C22";"0402C";2;"22pF";;;
45;"C21";"5X5.4";1;"47uF";;;
46;"C19";"4X5.4";1;"10uF";;;
47;"C15";"0402C";1;"75pF";;;
48;"C11,C9,C3,C2,C13";"0402C";5;"1uF";;;
49;"C8,C7,C6,C5";"1206C";4;"22uF";;;
50;"C42";"0402C";1;"10pF";;;
51;"C60";"0402C";1;"4.7nF";;;
52;"D1";"VSMB2948G";1;"VSMB2948G";;;
53;"R34,R29,R33,R32";"0402R";4;"100k";;;
54;"U1";"TSOP6438";1;"TSOP62/38";;;
55;"USB1";"Micro USB";1;"USB_OTG";;;
56;"U2";"SOT143B";1;"Unidirectional 5.5V 6V SOT-143 Diodes - ESD RoHS";;;
57;"P2,P1";"HX12501-A";2;"HX12501-A";;;
58;"R9";"0402R";1;"102k";;;
59;"U16";"SOT363";1;"74LVC2G14GW";;;
60;"U12";"ESP32 S3 WROOM 1";1;"ESP32 S3";;;
61;"U14";"2450BM14A0002";1;"2450BM14A0002";;;
62;"C16";"0402C";1;"1.5nF";;;
63;"X1";"SMD-3225_4P";1;"C12668";;;
